onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
116.583	0.001	116584	Stimulus	S  1
119.16	0.001	119161	Stimulus	S 11
121.005	0.001	121006	Stimulus	S 31
121.19	0.001	121191	Stimulus	S 31
121.44	0.001	121441	Stimulus	S 31
121.698	0.001	121699	Stimulus	S 31
122.125	0.001	122126	Stimulus	S 21
122.302	0.001	122303	Stimulus	S 21
122.494	0.001	122495	Stimulus	S 21
122.687	0.001	122688	Stimulus	S 21
123.338	0.001	123339	Stimulus	S 21
123.579	0.001	123580	Stimulus	S 21
123.782	0.001	123783	Stimulus	S 21
124.384	0.001	124385	Stimulus	S 21
127.799	0.001	127800	Stimulus	S 31
128.264	0.001	128265	Stimulus	S 31
128.462	0.001	128463	Stimulus	S 31
129.726	0.001	129727	Stimulus	S 21
130.199	0.001	130200	Stimulus	S 21
131.246	0.001	131247	Stimulus	S 21
132.647	0.001	132648	Stimulus	S 21
133.383	0.001	133384	Stimulus	S 31
138.828	0.001	138829	Stimulus	S 31
139.872	0.001	139873	Stimulus	S 21
140.836	0.001	140837	Stimulus	S 21
141.77	0.001	141771	Stimulus	S 31
143.493	0.001	143494	Stimulus	S 21
144.854	0.001	144855	Stimulus	S 21
145.616	0.001	145617	Stimulus	S 31
148.68	0.001	148681	Stimulus	S 21
149.635	0.001	149636	Stimulus	S 31
150.881	0.001	150882	Stimulus	S 21
151.532	0.001	151533	Stimulus	S 31
153.264	0.001	153265	Stimulus	S 21
154.574	0.001	154575	Stimulus	S 31
155.467	0.001	155468	Stimulus	S 21
156.14	0.001	156141	Stimulus	S 31
156.904	0.001	156905	Stimulus	S 21
159.867	0.001	159868	Stimulus	S 21
160.932	0.001	160933	Stimulus	S 21
161.887	0.001	161888	Stimulus	S 31
162.957	0.001	162958	Stimulus	S 21
165.084	0.001	165085	Stimulus	S 31
165.765	0.001	165766	Stimulus	S 21
168.891	0.001	168892	Stimulus	S 21
169.76	0.001	169761	Stimulus	S 31
171.002	0.001	171003	Stimulus	S 31
171.728	0.001	171729	Stimulus	S 21
172.532	0.001	172533	Stimulus	S 21
173.274	0.001	173275	Stimulus	S 21
175.441	0.001	175442	Stimulus	S 21
176.123	0.001	176124	Stimulus	S 31
177.284	0.001	177285	Stimulus	S 31
178.812	0.001	178813	Stimulus	S 21
179.239	0.001	179240	Stimulus	S 71
180.253	0.001	180254	Stimulus	S 81
185.513	0.001	185514	Stimulus	S  1
187.101	0.001	187102	Stimulus	S 11
188.191	0.001	188192	Stimulus	S 21
189.36	0.001	189361	Stimulus	S 31
190.253	0.001	190254	Stimulus	S 31
191.254	0.001	191255	Stimulus	S 21
191.587	0.001	191588	Stimulus	S 21
191.837	0.001	191838	Stimulus	S 21
193.635	0.001	193636	Stimulus	S 31
194.363	0.001	194364	Stimulus	S 31
195.032	0.001	195033	Stimulus	S 21
197.575	0.001	197576	Stimulus	S 31
198.667	0.001	198668	Stimulus	S 31
199.672	0.001	199673	Stimulus	S 31
200.261	0.001	200262	Stimulus	S 21
201.827	0.001	201828	Stimulus	S 21
203.763	0.001	203764	Stimulus	S 31
205.508	0.001	205509	Stimulus	S 21
206.209	0.001	206210	Stimulus	S 31
206.94	0.001	206941	Stimulus	S 21
209.149	0.001	209150	Stimulus	S 31
209.931	0.001	209932	Stimulus	S 21
210.948	0.001	210949	Stimulus	S 31
212.006	0.001	212007	Stimulus	S 21
212.944	0.001	212945	Stimulus	S 21
213.663	0.001	213664	Stimulus	S 31
214.083	0.001	214084	Stimulus	S 31
214.85	0.001	214851	Stimulus	S 31
216.124	0.001	216125	Stimulus	S 21
218.203	0.001	218204	Stimulus	S 21
219.292	0.001	219293	Stimulus	S 31
219.89	0.001	219891	Stimulus	S 31
221.126	0.001	221127	Stimulus	S 21
221.699	0.001	221700	Stimulus	S 21
222.328	0.001	222329	Stimulus	S 31
222.791	0.001	222792	Stimulus	S 31
223.443	0.001	223444	Stimulus	S 31
223.948	0.001	223949	Stimulus	S 21
224.423	0.001	224424	Stimulus	S 21
225.058	0.001	225059	Stimulus	S 21
225.679	0.001	225680	Stimulus	S 31
226.095	0.001	226096	Stimulus	S 31
226.852	0.001	226853	Stimulus	S 21
229.825	0.001	229826	Stimulus	S 31
230.938	0.001	230939	Stimulus	S 31
234.326	0.001	234327	Stimulus	S 21
235.967	0.001	235968	Stimulus	S 31
237.406	0.001	237407	Stimulus	S 21
238.139	0.001	238140	Stimulus	S 21
239.144	0.001	239145	Stimulus	S 31
240.045	0.001	240046	Stimulus	S 21
242.255	0.001	242256	Stimulus	S 31
243.687	0.001	243688	Stimulus	S 31
244.417	0.001	244418	Stimulus	S 21
245.086	0.001	245087	Stimulus	S 21
245.83	0.001	245831	Stimulus	S 21
246.487	0.001	246488	Stimulus	S 31
247.173	0.001	247174	Stimulus	S 71
248.179	0.001	248180	Stimulus	S 81
249.485	0.001	249486	Stimulus	S  1
250.951	0.001	250952	Stimulus	S 11
252.074	0.001	252075	Stimulus	S 21
252.997	0.001	252998	Stimulus	S 31
253.821	0.001	253822	Stimulus	S 21
254.527	0.001	254528	Stimulus	S 31
255.269	0.001	255270	Stimulus	S 21
256.728	0.001	256729	Stimulus	S 31
257.887	0.001	257888	Stimulus	S 21
259.409	0.001	259410	Stimulus	S 31
260.091	0.001	260092	Stimulus	S 21
263.728	0.001	263729	Stimulus	S 31
265.28	0.001	265281	Stimulus	S 31
266.006	0.001	266007	Stimulus	S 21
266.735	0.001	266736	Stimulus	S 31
268.044	0.001	268045	Stimulus	S 21
268.987	0.001	268988	Stimulus	S 31
270.039	0.001	270040	Stimulus	S 21
271.023	0.001	271024	Stimulus	S 31
272.093	0.001	272094	Stimulus	S 21
273.953	0.001	273954	Stimulus	S 31
274.759	0.001	274760	Stimulus	S 21
275.958	0.001	275959	Stimulus	S 31
276.785	0.001	276786	Stimulus	S 21
279.461	0.001	279462	Stimulus	S 31
280.5	0.001	280501	Stimulus	S 21
281.27	0.001	281271	Stimulus	S 31
282.373	0.001	282374	Stimulus	S 21
283.024	0.001	283025	Stimulus	S 21
284.465	0.001	284466	Stimulus	S 31
288.531	0.001	288532	Stimulus	S 31
289.387	0.001	289388	Stimulus	S 31
291.056	0.001	291057	Stimulus	S 31
293.905	0.001	293906	Stimulus	S 21
295.803	0.001	295804	Stimulus	S 31
296.405	0.001	296406	Stimulus	S 21
297.099	0.001	297100	Stimulus	S 21
298.527	0.001	298528	Stimulus	S 31
300.663	0.001	300664	Stimulus	S 21
301.605	0.001	301606	Stimulus	S 31
302.126	0.001	302127	Stimulus	S 31
303.085	0.001	303086	Stimulus	S 31
304.605	0.001	304606	Stimulus	S 21
306.052	0.001	306053	Stimulus	S 31
306.567	0.001	306568	Stimulus	S 31
307.496	0.001	307497	Stimulus	S 21
309.172	0.001	309173	Stimulus	S 31
309.788	0.001	309789	Stimulus	S 31
310.428	0.001	310429	Stimulus	S 21
310.904	0.001	310905	Stimulus	S 21
311.021	0.001	311022	Stimulus	S 71
312.033	0.001	312034	Stimulus	S 81
313.114	0.001	313115	Stimulus	S  1
314.067	0.001	314068	Stimulus	S 11
315.309	0.001	315310	Stimulus	S 21
317.066	0.001	317067	Stimulus	S 31
318.746	0.001	318747	Stimulus	S 21
319.367	0.001	319368	Stimulus	S 21
321.319	0.001	321320	Stimulus	S 31
321.861	0.001	321862	Stimulus	S 31
323.055	0.001	323056	Stimulus	S 31
324.147	0.001	324148	Stimulus	S 21
325.503	0.001	325504	Stimulus	S 21
327.107	0.001	327108	Stimulus	S 31
328.091	0.001	328092	Stimulus	S 31
329.305	0.001	329306	Stimulus	S 21
331.39	0.001	331391	Stimulus	S 21
332.688	0.001	332689	Stimulus	S 31
337.413	0.001	337414	Stimulus	S 21
338.852	0.001	338853	Stimulus	S 31
340.179	0.001	340180	Stimulus	S 21
343.661	0.001	343662	Stimulus	S 21
344.129	0.001	344130	Stimulus	S 21
344.411	0.001	344412	Stimulus	S 21
344.696	0.001	344697	Stimulus	S 21
345.837	0.001	345838	Stimulus	S 31
346.383	0.001	346384	Stimulus	S 31
346.833	0.001	346834	Stimulus	S 31
348.698	0.001	348699	Stimulus	S 21
350.056	0.001	350057	Stimulus	S 31
351.029	0.001	351030	Stimulus	S 31
351.918	0.001	351919	Stimulus	S 21
353.778	0.001	353779	Stimulus	S 31
355.837	0.001	355838	Stimulus	S 21
357.709	0.001	357710	Stimulus	S 31
358.78	0.001	358781	Stimulus	S 31
360.387	0.001	360388	Stimulus	S 21
361.715	0.001	361716	Stimulus	S 21
362.934	0.001	362935	Stimulus	S 21
364.133	0.001	364134	Stimulus	S 21
365.288	0.001	365289	Stimulus	S 31
366.676	0.001	366677	Stimulus	S 31
367.569	0.001	367570	Stimulus	S 21
368.485	0.001	368486	Stimulus	S 21
