onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
2.878	0.001	2879	Stimulus	S  1
10.473	0.001	10474	Stimulus	S 11
12.477	0.001	12478	Stimulus	S 21
12.951	0.001	12952	Stimulus	S 31
13.296	0.001	13297	Stimulus	S 31
13.537	0.001	13538	Stimulus	S 31
13.715	0.001	13716	Stimulus	S 31
13.868	0.001	13869	Stimulus	S 31
14.012	0.001	14013	Stimulus	S 31
14.188	0.001	14189	Stimulus	S 21
14.389	0.001	14390	Stimulus	S 21
14.606	0.001	14607	Stimulus	S 21
14.684	0.001	14685	Stimulus	S 61
15.694	0.001	15695	Stimulus	S 81
37.917	0.001	37918	Stimulus	S  1
42.115	0.001	42116	Stimulus	S 11
44.063	0.001	44064	Stimulus	S 31
45.049	0.001	45050	Stimulus	S 21
45.547	0.001	45548	Stimulus	S 31
45.779	0.001	45780	Stimulus	S 31
45.9	0.001	45901	Stimulus	S 31
45.947	0.001	45948	Stimulus	S 61
46.955	0.001	46956	Stimulus	S 81
75.826	0.001	75827	Stimulus	S  1
78.347	0.001	78348	Stimulus	S 11
79.409	0.001	79410	Stimulus	S 21
79.715	0.001	79716	Stimulus	S 31
79.916	0.001	79917	Stimulus	S 31
80.092	0.001	80093	Stimulus	S 31
80.254	0.001	80255	Stimulus	S 31
80.415	0.001	80416	Stimulus	S 31
80.567	0.001	80568	Stimulus	S 31
80.751	0.001	80752	Stimulus	S 31
81.263	0.001	81264	Stimulus	S 21
81.504	0.001	81505	Stimulus	S 21
81.696	0.001	81697	Stimulus	S 21
81.888	0.001	81889	Stimulus	S 21
82.096	0.001	82097	Stimulus	S 21
82.32	0.001	82321	Stimulus	S 21
82.49	0.001	82491	Stimulus	S 61
83.497	0.001	83498	Stimulus	S 81
108.993	0.001	108994	Stimulus	S  3
110.295	0.001	110296	Stimulus	S 13
112.309	0.001	112310	Stimulus	S 23
112.83	0.001	112831	Stimulus	S 23
113.271	0.001	113272	Stimulus	S 23
113.785	0.001	113786	Stimulus	S 23
114.307	0.001	114308	Stimulus	S 23
114.781	0.001	114782	Stimulus	S 23
115.223	0.001	115224	Stimulus	S 23
115.673	0.001	115674	Stimulus	S 23
115.948	0.001	115949	Stimulus	S 23
116.262	0.001	116263	Stimulus	S 23
116.559	0.001	116560	Stimulus	S 23
116.808	0.001	116809	Stimulus	S 23
117.009	0.001	117010	Stimulus	S 23
117.243	0.001	117244	Stimulus	S 23
117.46	0.001	117461	Stimulus	S 23
118.934	0.001	118935	Stimulus	S 33
119.177	0.001	119178	Stimulus	S 33
119.532	0.001	119533	Stimulus	S 33
119.805	0.001	119806	Stimulus	S 33
120.11	0.001	120111	Stimulus	S 33
120.615	0.001	120616	Stimulus	S 33
120.8	0.001	120801	Stimulus	S 23
120.993	0.001	120994	Stimulus	S 23
121.196	0.001	121197	Stimulus	S 23
121.461	0.001	121462	Stimulus	S 23
121.734	0.001	121735	Stimulus	S 23
121.944	0.001	121945	Stimulus	S 23
122.137	0.001	122138	Stimulus	S 23
122.315	0.001	122316	Stimulus	S 23
122.52	0.001	122521	Stimulus	S 23
122.745	0.001	122746	Stimulus	S 23
123.227	0.001	123228	Stimulus	S 23
123.545	0.001	123546	Stimulus	S 23
123.764	0.001	123765	Stimulus	S 23
123.957	0.001	123958	Stimulus	S 23
124.183	0.001	124184	Stimulus	S 23
124.387	0.001	124388	Stimulus	S 23
124.795	0.001	124796	Stimulus	S 23
125.019	0.001	125020	Stimulus	S 23
125.235	0.001	125236	Stimulus	S 23
125.447	0.001	125448	Stimulus	S 23
125.664	0.001	125665	Stimulus	S 23
125.897	0.001	125898	Stimulus	S 23
126.171	0.001	126172	Stimulus	S 33
126.444	0.001	126445	Stimulus	S 33
126.676	0.001	126677	Stimulus	S 23
126.861	0.001	126862	Stimulus	S 23
127.077	0.001	127078	Stimulus	S 23
127.301	0.001	127302	Stimulus	S 23
127.542	0.001	127543	Stimulus	S 23
127.767	0.001	127768	Stimulus	S 23
127.999	0.001	128000	Stimulus	S 23
128.167	0.001	128168	Stimulus	S 33
128.36	0.001	128361	Stimulus	S 33
128.561	0.001	128562	Stimulus	S 33
128.737	0.001	128738	Stimulus	S 33
128.923	0.001	128924	Stimulus	S 33
129.148	0.001	129149	Stimulus	S 23
129.36	0.001	129361	Stimulus	S 23
129.595	0.001	129596	Stimulus	S 23
129.812	0.001	129813	Stimulus	S 23
130.052	0.001	130053	Stimulus	S 23
130.245	0.001	130246	Stimulus	S 33
130.454	0.001	130455	Stimulus	S 33
130.655	0.001	130656	Stimulus	S 33
130.848	0.001	130849	Stimulus	S 33
131.04	0.001	131041	Stimulus	S 33
131.28	0.001	131281	Stimulus	S 23
131.52	0.001	131521	Stimulus	S 23
131.729	0.001	131730	Stimulus	S 23
131.953	0.001	131954	Stimulus	S 23
132.194	0.001	132195	Stimulus	S 23
132.411	0.001	132412	Stimulus	S 33
132.588	0.001	132589	Stimulus	S 33
132.78	0.001	132781	Stimulus	S 33
132.974	0.001	132975	Stimulus	S 33
133.103	0.001	133104	Stimulus	S 23
133.319	0.001	133320	Stimulus	S 23
133.519	0.001	133520	Stimulus	S 23
133.712	0.001	133713	Stimulus	S 23
133.896	0.001	133897	Stimulus	S 23
134.081	0.001	134082	Stimulus	S 23
134.265	0.001	134266	Stimulus	S 23
134.442	0.001	134443	Stimulus	S 23
134.618	0.001	134619	Stimulus	S 23
134.81	0.001	134811	Stimulus	S 23
134.987	0.001	134988	Stimulus	S 23
135.155	0.001	135156	Stimulus	S 23
135.333	0.001	135334	Stimulus	S 23
135.502	0.001	135503	Stimulus	S 23
135.679	0.001	135680	Stimulus	S 23
135.863	0.001	135864	Stimulus	S 23
136.048	0.001	136049	Stimulus	S 23
136.232	0.001	136233	Stimulus	S 23
136.434	0.001	136435	Stimulus	S 23
136.62	0.001	136621	Stimulus	S 23
137.493	0.001	137494	Stimulus	S 63
138.502	0.001	138503	Stimulus	S 83
160.261	0.001	160262	Stimulus	S  4
163.595	0.001	163596	Stimulus	S 14
163.62	0.001	163621	Stimulus	S 44
163.692	0.001	163693	Stimulus	S 44
164.285	0.001	164286	Stimulus	S 34
164.479	0.001	164480	Stimulus	S 34
164.631	0.001	164632	Stimulus	S 34
164.767	0.001	164768	Stimulus	S 54
164.776	0.001	164777	Stimulus	S 34
164.904	0.001	164905	Stimulus	S 54
164.921	0.001	164922	Stimulus	S 34
165.065	0.001	165066	Stimulus	S 34
165.202	0.001	165203	Stimulus	S 34
165.691	0.001	165692	Stimulus	S 24
165.859	0.001	165860	Stimulus	S 24
166.051	0.001	166052	Stimulus	S 24
166.22	0.001	166221	Stimulus	S 24
166.406	0.001	166407	Stimulus	S 24
166.582	0.001	166583	Stimulus	S 24
166.742	0.001	166743	Stimulus	S 24
166.902	0.001	166903	Stimulus	S 24
166.91	0.001	166911	Stimulus	S 44
167.054	0.001	167055	Stimulus	S 24
167.206	0.001	167207	Stimulus	S 24
167.23	0.001	167231	Stimulus	S 44
167.382	0.001	167383	Stimulus	S 24
167.542	0.001	167543	Stimulus	S 24
167.694	0.001	167695	Stimulus	S 24
167.71	0.001	167711	Stimulus	S 44
167.934	0.001	167935	Stimulus	S 44
168.046	0.001	168047	Stimulus	S 44
168.246	0.001	168247	Stimulus	S 24
168.43	0.001	168431	Stimulus	S 64
169.438	0.001	169439	Stimulus	S 84
171.406	0.001	171407	Stimulus	S  2
173.324	0.001	173325	Stimulus	S 12
173.398	0.001	173399	Stimulus	S 42
173.975	0.001	173976	Stimulus	S 52
174.167	0.001	174168	Stimulus	S 32
174.256	0.001	174257	Stimulus	S 52
175.162	0.001	175163	Stimulus	S 22
175.395	0.001	175396	Stimulus	S 42
175.411	0.001	175412	Stimulus	S 22
175.62	0.001	175621	Stimulus	S 22
175.812	0.001	175813	Stimulus	S 22
175.828	0.001	175829	Stimulus	S 42
176.013	0.001	176014	Stimulus	S 22
176.247	0.001	176248	Stimulus	S 22
176.376	0.001	176377	Stimulus	S 42
176.424	0.001	176425	Stimulus	S 42
176.488	0.001	176489	Stimulus	S 22
176.713	0.001	176714	Stimulus	S 22
176.753	0.001	176754	Stimulus	S 42
176.977	0.001	176978	Stimulus	S 52
177.009	0.001	177010	Stimulus	S 32
177.146	0.001	177147	Stimulus	S 52
177.17	0.001	177171	Stimulus	S 52
177.195	0.001	177196	Stimulus	S 32
177.332	0.001	177333	Stimulus	S 32
177.476	0.001	177477	Stimulus	S 32
177.629	0.001	177630	Stimulus	S 32
177.637	0.001	177638	Stimulus	S 52
177.725	0.001	177726	Stimulus	S 52
177.773	0.001	177774	Stimulus	S 32
177.925	0.001	177926	Stimulus	S 32
177.942	0.001	177943	Stimulus	S 52
178.383	0.001	178384	Stimulus	S 22
178.591	0.001	178592	Stimulus	S 42
