onset	duration	sample	trial_type	value
0	0.001	1	New Segment	n/a
0	0.001	1	Comment	Active Shielding: On
173.982	0.001	173983	Stimulus	S  1
178.7	0.001	178701	Stimulus	S 11
180.678	0.001	180679	Stimulus	S 31
181.257	0.001	181258	Stimulus	S 21
181.882	0.001	181883	Stimulus	S 21
182.115	0.001	182116	Stimulus	S 21
182.69	0.001	182691	Stimulus	S 61
183.699	0.001	183700	Stimulus	S 81
192.167	0.001	192168	Stimulus	S  1
197.192	0.001	197193	Stimulus	S 11
198.587	0.001	198588	Stimulus	S 21
200.236	0.001	200237	Stimulus	S 21
201.886	0.001	201887	Stimulus	S 21
203.073	0.001	203074	Stimulus	S 31
203.796	0.001	203797	Stimulus	S 31
204.517	0.001	204518	Stimulus	S 21
205.326	0.001	205327	Stimulus	S 31
206.094	0.001	206095	Stimulus	S 61
207.102	0.001	207103	Stimulus	S 81
215.139	0.001	215140	Stimulus	S  1
217.56	0.001	217561	Stimulus	S 11
218.852	0.001	218853	Stimulus	S 31
221.863	0.001	221864	Stimulus	S 21
223.129	0.001	223130	Stimulus	S 31
223.893	0.001	223894	Stimulus	S 21
224.822	0.001	224823	Stimulus	S 21
225.807	0.001	225808	Stimulus	S 31
226.472	0.001	226473	Stimulus	S 31
226.707	0.001	226708	Stimulus	S 31
227.259	0.001	227260	Stimulus	S 31
227.476	0.001	227477	Stimulus	S 31
228.148	0.001	228149	Stimulus	S 21
228.389	0.001	228390	Stimulus	S 21
228.647	0.001	228648	Stimulus	S 21
228.792	0.001	228793	Stimulus	S 21
228.968	0.001	228969	Stimulus	S 21
229.146	0.001	229147	Stimulus	S 21
229.467	0.001	229468	Stimulus	S 21
229.708	0.001	229709	Stimulus	S 21
229.885	0.001	229886	Stimulus	S 21
230.078	0.001	230079	Stimulus	S 21
230.614	0.001	230615	Stimulus	S 31
230.815	0.001	230816	Stimulus	S 31
230.986	0.001	230987	Stimulus	S 31
231.299	0.001	231300	Stimulus	S 31
231.451	0.001	231452	Stimulus	S 31
231.619	0.001	231620	Stimulus	S 31
231.772	0.001	231773	Stimulus	S 31
231.924	0.001	231925	Stimulus	S 31
232.421	0.001	232422	Stimulus	S 21
232.622	0.001	232623	Stimulus	S 21
232.783	0.001	232784	Stimulus	S 21
232.951	0.001	232952	Stimulus	S 21
233.135	0.001	233136	Stimulus	S 21
233.303	0.001	233304	Stimulus	S 21
233.543	0.001	233544	Stimulus	S 21
234.099	0.001	234100	Stimulus	S 21
234.291	0.001	234292	Stimulus	S 21
234.636	0.001	234637	Stimulus	S 21
234.829	0.001	234830	Stimulus	S 21
235.005	0.001	235006	Stimulus	S 21
235.158	0.001	235159	Stimulus	S 21
235.318	0.001	235319	Stimulus	S 21
235.454	0.001	235455	Stimulus	S 21
235.607	0.001	235608	Stimulus	S 21
235.745	0.001	235746	Stimulus	S 21
235.945	0.001	235946	Stimulus	S 21
236.09	0.001	236091	Stimulus	S 21
236.234	0.001	236235	Stimulus	S 21
236.372	0.001	236373	Stimulus	S 21
236.533	0.001	236534	Stimulus	S 21
236.677	0.001	236678	Stimulus	S 21
236.853	0.001	236854	Stimulus	S 21
237.43	0.001	237431	Stimulus	S 61
238.439	0.001	238440	Stimulus	S 81
244.735	0.001	244736	Stimulus	S  4
246.917	0.001	246918	Stimulus	S 14
247.27	0.001	247271	Stimulus	S 54
247.759	0.001	247760	Stimulus	S 24
248.002	0.001	248003	Stimulus	S 24
248.243	0.001	248244	Stimulus	S 24
248.475	0.001	248476	Stimulus	S 24
248.74	0.001	248741	Stimulus	S 24
249.085	0.001	249086	Stimulus	S 34
249.278	0.001	249279	Stimulus	S 34
249.438	0.001	249439	Stimulus	S 34
249.59	0.001	249591	Stimulus	S 34
249.672	0.001	249673	Stimulus	S 54
249.748	0.001	249749	Stimulus	S 34
249.917	0.001	249918	Stimulus	S 34
250.749	0.001	250750	Stimulus	S 34
250.959	0.001	250960	Stimulus	S 34
251.184	0.001	251185	Stimulus	S 34
252.252	0.001	252253	Stimulus	S 44
252.524	0.001	252525	Stimulus	S 24
253.006	0.001	253007	Stimulus	S 54
253.038	0.001	253039	Stimulus	S 34
253.259	0.001	253260	Stimulus	S 34
253.308	0.001	253309	Stimulus	S 54
253.436	0.001	253437	Stimulus	S 54
253.476	0.001	253477	Stimulus	S 34
253.565	0.001	253566	Stimulus	S 54
253.834	0.001	253835	Stimulus	S 44
254.051	0.001	254052	Stimulus	S 24
254.245	0.001	254246	Stimulus	S 24
254.357	0.001	254358	Stimulus	S 24
254.55	0.001	254551	Stimulus	S 24
254.59	0.001	254591	Stimulus	S 44
254.698	0.001	254699	Stimulus	S 24
254.837	0.001	254838	Stimulus	S 24
254.941	0.001	254942	Stimulus	S 44
255.006	0.001	255007	Stimulus	S 24
255.069	0.001	255070	Stimulus	S 44
255.142	0.001	255143	Stimulus	S 24
255.639	0.001	255640	Stimulus	S 34
255.896	0.001	255897	Stimulus	S 54
256.017	0.001	256018	Stimulus	S 34
256.262	0.001	256263	Stimulus	S 34
256.455	0.001	256456	Stimulus	S 34
256.64	0.001	256641	Stimulus	S 34
257.291	0.001	257292	Stimulus	S 34
257.427	0.001	257428	Stimulus	S 54
257.821	0.001	257822	Stimulus	S 24
257.99	0.001	257991	Stimulus	S 24
258.167	0.001	258168	Stimulus	S 24
258.344	0.001	258345	Stimulus	S 44
258.736	0.001	258737	Stimulus	S 34
258.946	0.001	258947	Stimulus	S 34
259.143	0.001	259144	Stimulus	S 54
259.183	0.001	259184	Stimulus	S 34
259.664	0.001	259665	Stimulus	S 24
259.761	0.001	259762	Stimulus	S 44
259.985	0.001	259986	Stimulus	S 54
260.121	0.001	260122	Stimulus	S 54
260.178	0.001	260179	Stimulus	S 54
260.235	0.001	260236	Stimulus	S 34
260.403	0.001	260404	Stimulus	S 44
260.491	0.001	260492	Stimulus	S 44
261.203	0.001	261204	Stimulus	S 24
261.498	0.001	261499	Stimulus	S 24
261.715	0.001	261716	Stimulus	S 24
262.462	0.001	262463	Stimulus	S 34
262.656	0.001	262657	Stimulus	S 34
263.112	0.001	263113	Stimulus	S 54
263.176	0.001	263177	Stimulus	S 34
263.185	0.001	263186	Stimulus	S 54
263.355	0.001	263356	Stimulus	S 34
263.772	0.001	263773	Stimulus	S 24
263.97	0.001	263971	Stimulus	S 24
264.131	0.001	264132	Stimulus	S 24
264.3	0.001	264301	Stimulus	S 24
264.358	0.001	264359	Stimulus	S 44
264.463	0.001	264464	Stimulus	S 24
264.48	0.001	264481	Stimulus	S 44
264.626	0.001	264627	Stimulus	S 24
264.803	0.001	264804	Stimulus	S 24
264.948	0.001	264949	Stimulus	S 24
265.125	0.001	265126	Stimulus	S 24
265.302	0.001	265303	Stimulus	S 24
265.491	0.001	265492	Stimulus	S 24
265.645	0.001	265646	Stimulus	S 24
265.813	0.001	265814	Stimulus	S 24
265.958	0.001	265959	Stimulus	S 24
266.095	0.001	266096	Stimulus	S 24
266.175	0.001	266176	Stimulus	S 44
266.247	0.001	266248	Stimulus	S 24
266.391	0.001	266392	Stimulus	S 24
266.56	0.001	266561	Stimulus	S 24
266.699	0.001	266700	Stimulus	S 24
266.803	0.001	266804	Stimulus	S 24
267.021	0.001	267022	Stimulus	S 24
267.278	0.001	267279	Stimulus	S 44
267.374	0.001	267375	Stimulus	S 64
268.377	0.001	268378	Stimulus	S 84
272.364	0.001	272365	Stimulus	S  1
274.059	0.001	274060	Stimulus	S 11
275.311	0.001	275312	Stimulus	S 21
276.982	0.001	276983	Stimulus	S 31
277.903	0.001	277904	Stimulus	S 21
278.991	0.001	278992	Stimulus	S 21
279.296	0.001	279297	Stimulus	S 21
280.603	0.001	280604	Stimulus	S 31
280.853	0.001	280854	Stimulus	S 31
282.064	0.001	282065	Stimulus	S 21
282.843	0.001	282844	Stimulus	S 21
283.139	0.001	283140	Stimulus	S 21
284.208	0.001	284209	Stimulus	S 31
284.626	0.001	284627	Stimulus	S 31
284.859	0.001	284860	Stimulus	S 31
285.608	0.001	285609	Stimulus	S 21
285.864	0.001	285865	Stimulus	S 21
286.105	0.001	286106	Stimulus	S 21
286.957	0.001	286958	Stimulus	S 31
287.238	0.001	287239	Stimulus	S 31
289.472	0.001	289473	Stimulus	S 21
289.714	0.001	289715	Stimulus	S 21
289.995	0.001	289996	Stimulus	S 21
290.548	0.001	290549	Stimulus	S 31
290.773	0.001	290774	Stimulus	S 31
291.063	0.001	291064	Stimulus	S 31
292.322	0.001	292323	Stimulus	S 21
292.491	0.001	292492	Stimulus	S 21
292.651	0.001	292652	Stimulus	S 21
292.843	0.001	292844	Stimulus	S 21
293.036	0.001	293037	Stimulus	S 21
293.205	0.001	293206	Stimulus	S 21
293.574	0.001	293575	Stimulus	S 21
294.194	0.001	294195	Stimulus	S 31
294.411	0.001	294412	Stimulus	S 31
